Timestep,MAE,MSE,RMSE,MAPE,SMAPE,TRENDACC01,TRENDACC02,TRENDACC03
1,0.9661,1.5641,1.248,1.6341,1.629,0.7135,0.7487,0.9674
2,1.3202,2.9151,1.6905,2.2158,2.2073,0.7734,0.7474,0.8633
3,1.7763,5.1345,2.2397,2.9728,2.9563,0.7826,0.7396,0.8281
4,2.2624,8.2396,2.8287,3.7991,3.7534,0.7878,0.6654,0.7878
5,2.8799,14.1733,3.6848,4.8848,4.7891,0.7096,0.6432,0.7135
6,3.1625,19.4247,4.2411,5.4521,5.2772,0.6953,0.638,0.7109
7,3.4019,24.5525,4.6913,5.9152,5.6581,0.6693,0.599,0.7474
8,3.7443,30.7402,5.1829,6.5416,6.2043,0.6966,0.6263,0.6927
,,,,,,,,
1,0.0542,0.2019,0.081,0.132,0.1353,0.0433,0.0176,0.0176
2,0.1572,0.8489,0.2391,0.2658,0.2542,0.0472,0.0557,0.0691
3,0.2852,1.6195,0.344,0.467,0.4422,0.0463,0.0404,0.0776
4,0.4226,2.903,0.4877,0.741,0.6926,0.008,0.0279,0.0501
5,0.5711,5.9476,0.7715,1.0755,0.9742,0.0461,0.0383,0.0271
6,0.7532,10.7646,1.1992,1.5114,1.3133,0.0447,0.0633,0.0276
7,0.9228,16.2069,1.5949,1.8762,1.5739,0.0447,0.0571,0.0528
8,1.187,22.8446,1.9691,2.3925,1.9668,0.0289,0.0487,0.0435
